tag,seed,noise_type,eta,policy,budget,p,n_train,hidden,batch_size,epochs_ran,epochs_planned,eval_every,lr,weight_decay,grok_threshold,grok_consecutive,loss_warmup_epochs,num_corrupted,num_audited,num_corrected,hit_rate,correction_rate,time_to_grok,time_to_0.80,time_to_0.90,final_test_acc,final_train_acc,gap_area,auc_test,wall_time_sec,stopped_early,status
audit_input_dep_eta0.04_uncertainty_audit_B200_seed0,0,input_dep,0.04,uncertainty_audit,200,97,5000,256,512,150000,200000,2000,0.001,0.02,0.95,5,2000,200,200,94,0.47,0.47,142000,32000,48000,0.9557870124349027,1.0,10.882709788500373,64.13689021149962,3200.9648790359497,True,completed
audit_input_dep_eta0.04_uncertainty_audit_B400_seed0,0,input_dep,0.04,uncertainty_audit,400,97,5000,256,512,148000,200000,2000,0.001,0.02,0.95,5,2000,200,400,125,0.3125,0.625,140000,30000,44000,0.9539802316930598,1.0,10.384675757253694,63.359124242746304,3183.799110889435,True,completed
audit_input_dep_eta0.04_uncertainty_audit_B800_seed0,0,input_dep,0.04,uncertainty_audit,800,97,5000,256,512,94000,200000,2000,0.001,0.02,0.95,5,2000,200,800,146,0.1825,0.73,86000,28000,42000,0.9558932936550112,1.0,8.386450866191943,38.635349133808056,1999.8412871360779,True,completed
audit_input_dep_eta0.04_forgetting_audit_B200_seed0,0,input_dep,0.04,forgetting_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,63,0.315,0.315,,,,0.5945371452864279,0.994,48.02007533212881,51.4031246678712,4196.423358917236,False,completed
audit_input_dep_eta0.04_forgetting_audit_B400_seed0,0,input_dep,0.04,forgetting_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,67,0.1675,0.335,,,,0.6138803273461579,0.9944,45.769884132213825,53.69231586778617,20196.560362815857,False,completed
audit_input_dep_eta0.04_forgetting_audit_B800_seed0,0,input_dep,0.04,forgetting_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,76,0.095,0.38,,,,0.6111170156233393,0.995,45.55365924115209,53.968540758847915,14923.532420158386,False,completed
audit_input_dep_eta0.04_loss_audit_B200_seed0,0,input_dep,0.04,loss_audit,200,97,5000,256,512,150000,200000,2000,0.001,0.02,0.95,5,2000,200,200,94,0.47,0.47,142000,32000,48000,0.9557870124349027,1.0,10.882709788500373,64.13689021149962,2987.83966588974,True,completed
audit_input_dep_eta0.04_loss_audit_B400_seed0,0,input_dep,0.04,loss_audit,400,97,5000,256,512,148000,200000,2000,0.001,0.02,0.95,5,2000,200,400,125,0.3125,0.625,140000,30000,44000,0.9539802316930598,1.0,10.384675757253694,63.359124242746304,3056.9278700351715,True,completed
audit_input_dep_eta0.04_loss_audit_B800_seed0,0,input_dep,0.04,loss_audit,800,97,5000,256,512,82000,200000,2000,0.001,0.02,0.95,5,2000,200,800,147,0.18375,0.735,74000,28000,42000,0.9562121373153364,1.0,8.117027973217132,32.904772026782865,1764.5895380973816,True,completed
audit_input_dep_eta0.04_random_audit_B200_seed0,0,input_dep,0.04,random_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,6,0.03,0.03,,,,0.4283133170368796,0.9834,57.57881368902116,40.78318631097885,4468.256597042084,False,completed
