tag,seed,noise_type,eta,policy,budget,p,n_train,hidden,batch_size,epochs_ran,epochs_planned,eval_every,lr,weight_decay,grok_threshold,grok_consecutive,loss_warmup_epochs,num_corrupted,num_audited,num_corrected,hit_rate,correction_rate,time_to_grok,time_to_0.80,time_to_0.90,final_test_acc,final_train_acc,gap_area,auc_test,wall_time_sec,stopped_early,status
audit_input_dep_eta0.04_none_seed0,0,input_dep,0.04,none,0,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,0,0,0.0,0.0,,,,0.4189605696673398,0.9832,57.86872972685726,40.47327027314274,4403.015242815018,False,completed
audit_input_dep_eta0.04_random_audit_B200_seed0,0,input_dep,0.04,random_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,6,0.03,0.03,,,,0.4283133170368796,0.9834,57.57881368902116,40.78318631097885,30894.84662103653,False,completed
audit_input_dep_eta0.04_random_audit_B400_seed0,0,input_dep,0.04,random_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,16,0.04,0.08,,,,0.43107662875969815,0.984,57.48907601232862,40.93272398767138,12250.50210571289,False,completed
audit_input_dep_eta0.04_random_audit_B800_seed0,0,input_dep,0.04,random_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,36,0.045,0.18,,,,0.4531831225422468,0.9852,56.84974694441492,41.691253055585086,17742.375925064087,False,completed
audit_input_dep_eta0.04_region_audit_B200_seed0,0,input_dep,0.04,region_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,36,0.18,0.18,,,,0.44925071739823574,0.9862,56.89885080242322,41.7419491975768,6026.9894597530365,False,completed
audit_input_dep_eta0.04_region_audit_B400_seed0,0,input_dep,0.04,region_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,68,0.17,0.34,,,,0.4928260176426825,0.9886,54.57626661706877,44.30513338293124,7296.354485034943,False,completed
audit_input_dep_eta0.04_region_audit_B800_seed0,0,input_dep,0.04,region_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,128,0.16,0.64,,,,0.6760548411095759,0.9948,40.250576320544155,59.25082367945584,3919.4539391994476,False,completed
audit_input_dep_eta0.04_loss_audit_B200_seed0,0,input_dep,0.04,loss_audit,200,97,5000,256,512,150000,200000,2000,0.001,0.02,0.95,5,2000,200,200,94,0.47,0.47,142000,32000,48000,0.9557870124349027,1.0,10.882709788500373,64.13689021149962,2976.670648097992,True,completed
audit_input_dep_eta0.04_loss_audit_B400_seed0,0,input_dep,0.04,loss_audit,400,97,5000,256,512,148000,200000,2000,0.001,0.02,0.95,5,2000,200,400,125,0.3125,0.625,140000,30000,44000,0.9539802316930598,1.0,10.384675757253694,63.359124242746304,2939.838347673416,True,completed
audit_input_dep_eta0.04_loss_audit_B800_seed0,0,input_dep,0.04,loss_audit,800,97,5000,256,512,82000,200000,2000,0.001,0.02,0.95,5,2000,200,800,147,0.18375,0.735,74000,28000,42000,0.9562121373153364,1.0,8.117027973217132,32.904772026782865,1646.225172996521,True,completed
audit_uniform_eta0.04_none_seed0,0,uniform,0.04,none,0,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,0,0,0.0,0.0,,,,0.4268253799553619,0.983,57.4666864278882,40.854713572111805,7057.10177731514,False,completed
audit_uniform_eta0.04_random_audit_B200_seed0,0,uniform,0.04,random_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,5,0.025,0.025,,,,0.4217238813901584,0.9836,57.605453374428734,40.77574662557126,24724.316650867462,False,completed
audit_uniform_eta0.04_random_audit_B400_seed0,0,uniform,0.04,random_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,20,0.05,0.1,,,,0.42480603677330214,0.9846,57.54027979594006,40.941120204059956,8275.088502645493,False,completed
audit_uniform_eta0.04_random_audit_B800_seed0,0,uniform,0.04,random_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,38,0.0475,0.19,,,,0.44829418641726004,0.9856,56.77345016473589,41.80794983526411,7107.142607212067,False,completed
audit_uniform_eta0.04_region_audit_B200_seed0,0,uniform,0.04,region_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,11,0.055,0.055,,,,0.4271442236156871,0.9838,57.54019071102135,40.86140928897864,12565.72836613655,False,completed
audit_uniform_eta0.04_region_audit_B400_seed0,0,uniform,0.04,region_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,15,0.0375,0.075,,,,0.43065150387926454,0.984,57.524399064725266,40.89680093527474,7393.133035182953,False,completed
audit_uniform_eta0.04_region_audit_B800_seed0,0,uniform,0.04,region_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,34,0.0425,0.17,,,,0.4302263789988309,0.986,57.599343755978325,41.02125624402168,4160.670472860336,False,completed
audit_uniform_eta0.04_loss_audit_B200_seed0,0,uniform,0.04,loss_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,87,0.435,0.435,,40000,76000,0.9393134233180996,1.0,15.170981145711552,84.85141885428841,4169.107547044754,False,completed
audit_uniform_eta0.04_loss_audit_B400_seed0,0,uniform,0.04,loss_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,93,0.2325,0.465,,36000,58000,0.9451588904240621,1.0,13.984563885641407,86.03783611435861,4104.6413362026215,False,completed
audit_uniform_eta0.04_loss_audit_B800_seed0,0,uniform,0.04,loss_audit,800,97,5000,256,512,138000,200000,2000,0.001,0.02,0.95,5,2000,200,800,107,0.13375,0.535,130000,38000,62000,0.9512169199702413,1.0,11.659843851631416,57.36135614836858,3335.76553606987,True,completed
audit_input_dep_eta0.04_none_seed1,1,input_dep,0.04,none,0,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,0,0,0.0,0.0,,,,0.4358592836645765,0.9832,57.28512220214687,41.052077797853116,42271.83927702904,False,completed
