tag,condition,seed,noise_type,eta,transition_epoch,p,n_train,hidden,batch_size,epochs_ran,epochs_planned,eval_every,lr,weight_decay,grok_threshold,grok_consecutive,num_corrupted,time_to_grok,time_to_0.80,time_to_0.90,final_test_acc,final_train_acc,gap_area,phase1_final_test_acc,phase1_grokked,wall_time_sec,stopped_early,status
temporal_clean_input_dep_eta0.04_t50000_seed0,clean,0,input_dep,0.04,50000,97,5000,256,512,46000,200000,2000,0.001,0.02,0.95,5,200,38000,22000,30000,0.9653523222446594,1.0,5.6149120204059955,,False,1122.969228029251,True,completed
temporal_A_input_dep_eta0.04_t50000_seed0,A,0,input_dep,0.04,50000,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,200,,,,0.4189605696673398,0.9832,57.86872972685726,,False,13644.253351926804,False,completed
temporal_B_input_dep_eta0.04_t50000_seed0,B,0,input_dep,0.04,50000,97,5000,256,512,52000,200000,2000,0.001,0.02,0.95,5,200,38000,22000,30000,0.7738335636093102,0.9828,5.887434626421513,0.970241258369646,True,958.6743719577789,True,completed
temporal_C_input_dep_eta0.04_t50000_seed0,C,0,input_dep,0.04,50000,97,5000,256,512,88000,200000,2000,0.001,0.02,0.95,5,200,80000,66000,72000,0.9739611010734404,1.0,18.893423105537252,0.3978106068657668,False,1610.2645370960236,True,completed
temporal_D_input_dep_eta0.04_t50000_seed0,D,0,input_dep,0.04,50000,97,5000,256,512,104000,200000,2000,0.001,0.02,0.95,5,200,96000,76000,82000,0.9628015729620576,1.0,21.38284812413647,0.3978106068657668,False,2104.739795923233,True,completed
temporal_clean_uniform_eta0.04_t50000_seed0,clean,0,uniform,0.04,50000,97,5000,256,512,46000,200000,2000,0.001,0.02,0.95,5,200,38000,22000,30000,0.9653523222446594,1.0,5.6149120204059955,,False,862.5393688678741,True,completed
temporal_A_uniform_eta0.04_t50000_seed0,A,0,uniform,0.04,50000,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,200,,,,0.4268253799553619,0.983,57.4666864278882,,False,3610.7803230285645,False,completed
temporal_B_uniform_eta0.04_t50000_seed0,B,0,uniform,0.04,50000,97,5000,256,512,52000,200000,2000,0.001,0.02,0.95,5,200,38000,22000,30000,0.7972154320331597,0.9826,5.863852757997663,0.970241258369646,True,914.5707230567932,True,completed
temporal_C_uniform_eta0.04_t50000_seed0,C,0,uniform,0.04,50000,97,5000,256,512,90000,200000,2000,0.001,0.02,0.95,5,200,82000,64000,70000,0.9776809437772346,1.0,18.396166181315763,0.39685407588479116,False,1620.1280450820923,True,completed
temporal_D_uniform_eta0.04_t50000_seed0,D,0,uniform,0.04,50000,97,5000,256,512,104000,200000,2000,0.001,0.02,0.95,5,200,96000,76000,82000,0.9628015729620576,1.0,21.379586310978848,0.39685407588479116,False,1828.9284768104553,True,completed
temporal_clean_input_dep_eta0.04_t50000_seed1,clean,1,input_dep,0.04,50000,97,5000,256,512,56000,200000,2000,0.001,0.02,0.95,5,200,48000,22000,28000,0.9704538208098629,1.0,5.734185673291529,,False,985.2653460502625,True,completed
temporal_A_input_dep_eta0.04_t50000_seed1,A,1,input_dep,0.04,50000,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,200,,,,0.4358592836645765,0.9832,57.28512220214687,,False,3562.2393441200256,False,completed
temporal_B_input_dep_eta0.04_t50000_seed1,B,1,input_dep,0.04,50000,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,200,,22000,28000,0.4286321606972048,0.9832,47.646542905728566,0.9675842278669359,False,33792.95934700966,False,completed
temporal_C_input_dep_eta0.04_t50000_seed1,C,1,input_dep,0.04,50000,97,5000,256,512,88000,200000,2000,0.001,0.02,0.95,5,200,80000,68000,74000,0.9728982888723563,1.0,19.00149376129238,0.4020618556701031,False,1527.6366012096405,True,completed
temporal_D_input_dep_eta0.04_t50000_seed1,D,1,input_dep,0.04,50000,97,5000,256,512,98000,200000,2000,0.001,0.02,0.95,5,200,90000,72000,78000,0.9672653842066107,1.0,19.94729033903709,0.4020618556701031,False,1810.956810951233,True,completed
temporal_clean_uniform_eta0.04_t50000_seed1,clean,1,uniform,0.04,50000,97,5000,256,512,56000,200000,2000,0.001,0.02,0.95,5,200,48000,22000,28000,0.9704538208098629,1.0,5.734185673291529,,False,2840.7980029582977,True,completed
temporal_A_uniform_eta0.04_t50000_seed1,A,1,uniform,0.04,50000,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,200,,,,0.42310553725156763,0.9824,57.211461388032745,,False,26272.32313489914,False,completed
temporal_B_uniform_eta0.04_t50000_seed1,B,1,uniform,0.04,50000,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,200,,22000,28000,0.42448719311297695,0.9824,47.63448829843767,0.9675842278669359,False,8403.90805387497,False,completed
temporal_C_uniform_eta0.04_t50000_seed1,C,1,uniform,0.04,50000,97,5000,256,512,88000,200000,2000,0.001,0.02,0.95,5,200,80000,68000,74000,0.9670528217663938,1.0,18.576737187798912,0.4039749176320544,False,1562.9578831195831,True,completed
temporal_D_uniform_eta0.04_t50000_seed1,D,1,uniform,0.04,50000,97,5000,256,512,98000,200000,2000,0.001,0.02,0.95,5,200,90000,72000,78000,0.9672653842066107,1.0,19.920238091189287,0.4039749176320544,False,1750.924213886261,True,completed
temporal_clean_input_dep_eta0.04_t50000_seed2,clean,2,input_dep,0.04,50000,97,5000,256,512,44000,200000,2000,0.001,0.02,0.95,5,200,36000,22000,28000,0.9636518227229248,1.0,5.439311318949942,,False,794.6311111450195,True,completed
temporal_A_input_dep_eta0.04_t50000_seed2,A,2,input_dep,0.04,50000,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,200,,,,0.44999468593899455,0.9858,56.800378786268475,,False,3719.211686849594,False,completed
temporal_B_input_dep_eta0.04_t50000_seed2,B,2,input_dep,0.04,50000,97,5000,256,512,52000,200000,2000,0.001,0.02,0.95,5,200,36000,22000,28000,0.7605484110957593,0.9856,5.7751079392071425,0.9680093527473695,True,1140.2212400436401,True,completed
temporal_C_input_dep_eta0.04_t50000_seed2,C,2,input_dep,0.04,50000,97,5000,256,512,82000,200000,2000,0.001,0.02,0.95,5,200,74000,62000,68000,0.9803379742799447,1.0,17.78641183972792,0.4022744181103199,False,1832.6056599617004,True,completed
temporal_D_input_dep_eta0.04_t50000_seed2,D,2,input_dep,0.04,50000,97,5000,256,512,96000,200000,2000,0.001,0.02,0.95,5,200,88000,74000,80000,0.966840259326177,1.0,20.5762938675736,0.4022744181103199,False,2190.4395520687103,True,completed
temporal_clean_uniform_eta0.04_t50000_seed2,clean,2,uniform,0.04,50000,97,5000,256,512,44000,200000,2000,0.001,0.02,0.95,5,200,36000,22000,28000,0.9636518227229248,1.0,5.439311318949942,,False,1046.339771747589,True,completed
temporal_A_uniform_eta0.04_t50000_seed2,A,2,uniform,0.04,50000,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,200,,,,0.44053565734934635,0.986,57.236876543734724,,False,4627.472375154495,False,completed
temporal_B_uniform_eta0.04_t50000_seed2,B,2,uniform,0.04,50000,97,5000,256,512,52000,200000,2000,0.001,0.02,0.95,5,200,36000,22000,28000,0.7810606865766819,0.9856,5.75459566372622,0.9680093527473695,True,1060.3825268745422,True,completed
temporal_C_uniform_eta0.04_t50000_seed2,C,2,uniform,0.04,50000,97,5000,256,512,84000,200000,2000,0.001,0.02,0.95,5,200,76000,64000,70000,0.970241258369646,1.0,18.21014150281645,0.4002550749282602,False,35333.66670513153,True,completed
temporal_D_uniform_eta0.04_t50000_seed2,D,2,uniform,0.04,50000,97,5000,256,512,96000,200000,2000,0.001,0.02,0.95,5,200,88000,74000,80000,0.966840259326177,1.0,20.593604144967586,0.4002550749282602,False,2022.3967900276184,True,completed
